,name,rating,website,location,wheelchair,family,image_link-src,description,meta_descriptions,latitude,longitude
392,Gatlinburg Scenic Overlook,4.8,,"Gatlinburg, TN 37738",Accessibility    Wheelchair accessible entrance,,https://lh5.googleusercontent.com/p/AF1QipP1z5R7Rq1XdrFoAs1rgJXPyMGoEr_W_nGD3Kf0=w408-h306-k-no,This popular roadside overlook features panoramic views of the city & surrounding mountains.,,35.714259,-83.5101638
393,Gatlinburg Space Needle,4.5,gatlinburgspaceneedle.com,"115 Historic Nature Trail, Gatlinburg, TN 37738",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOG-2IK-TjaF3TNjX42VgaloNb79G-cnX3WQcHM=w408-h309-k-no,"Opened in 1969, the 407-ft. observation tower offers an outdoor viewing deck, a theater & an arcade.",,35.7107036,-83.5180568
394,George Wyth State Park,4.6,iowadnr.gov,"3659 Wyth Rd, Waterloo, IA 50703",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOr1NlIkTeFHpVJhKjb5zk5k11C0lPuntXBQaqp=w408-h306-k-no,"Multiple lakes for boating, fishing & windsurfing plus multi-use woodland trails, campsites & more.",,42.5359443,-92.40468150000001
395,Georgia Aquarium,4.6,georgiaaquarium.org,"225 Baker St NW, Atlanta, GA 30313",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMgJJ7zSmzP2OjxDW0BUApYm_nh5lFQMexIyZcp=w408-h306-k-no,"One of world's largest aquariums, with permanent exhibits, interactive galleries & animals galore.","Georgia Aquarium | Atlanta Georgia | Explore a world under the sea with our newest gallery, Sharks! Predators of the Deep. Plus see whale sharks, beluga whales and other marine life. Get your tickets online.",33.7626255,-84.3944874
396,Georgia Museum of Art,4.7,georgiamuseum.org,"90 Carlton St, Athens, GA 30602",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant,https://lh5.googleusercontent.com/p/AF1QipMkxzdBl9whRBv1kh1BCjciDcYIghLjL0QaJpqK=w408-h272-k-no,Long-standing art museum at University of Georgia hosting rotating exhibits & educational programs.,Georgia Museum of ArtThe Georgia Museum of Art at the University of Georgia is the official state museum of art. It has free admission and free inspiration for all.,33.9409746,-83.3704376
397,Georgia O'Keeffe Museum,4.6,okeeffemuseum.org,"217 Johnson St, Santa Fe, NM 87501",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,,https://lh5.googleusercontent.com/p/AF1QipOXZin6CPeBJweUKG52sMiis5ltqn49YXnm3Vco=w408-h272-k-no,"Rotating exhibits of the work of Georgia O'Keeffe include paintings, sculptures & sketches.",,35.6891836,-105.9413242
398,Giant Springs State Park,4.8,stateparks.mt.gov,"4803 Giant Springs Rd, Great Falls, MT 59405",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   Public restroom,https://lh5.googleusercontent.com/p/AF1QipM-Ehy9QlPI3-qIVgsrIrQxSniCyugi2z3Ot946=w408-h306-k-no,"Home to one of the largest freshwater springs in North America, the Rainbow Dam & 30 miles of trail.","Explore the more than 170 State Parks Montana has to offer, reserve campsites and facilities, and start your Montana adventure today.",47.5346605,-111.2290713
399,Gilbert House Children's Museum,4.6,acgilbert.org,"116 Marion St NE, Salem, OR 97301",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant,https://lh5.googleusercontent.com/p/AF1QipNj7XG-WGuB-n0V44JFX-g8shzHDbHr5Jc5sUPf=w408-h271-k-no,Children's science & art museum spanning 3 Victorian houses plus an outdoor play area.,,44.94520199999999,-123.041009
400,Glazer Children's Museum,4.5,glazermuseum.org,"110 W Gasparilla Plaza, Tampa, FL 33602",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi,//lh3.googleusercontent.com/proxy/xopHtjp1Qd_HsuQxUu_c8m_vD7Bgyo9NDNi2t35bd-2MpLPyLBSvSHSW9ZeuVr-4c2mkC2yQ-7xxdS0RTD8r85zi757ibk2130KzAicnZlf9VPEtR_a51BOZp4WZgwaGYK8SElOvkvEanpiqpjAeLUrNw82ANg=w408-h272-k-no,"Over 150 interactive activities focused on weather, art, communication & more for children under 12.",,27.949605,-82.4616941
401,Glensheen Mansion,4.7,glensheen.org,"3300 London Rd, Duluth, MN 55804",Accessibility    Assisted listening devices   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair rental,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipOQ7zmld4R6XBOjr0fVb1versgF6tf5VFabDvKL=w408-h272-k-no,"Tours of a historic 39-room mansion with its original furnishings intact, plus extensive grounds.","Glensheen Mansion is a 39-room mansion on the shore of Lake Superior in Duluth, MN. Now OPEN DAILY for self-guided Christmas tours.",46.815161,-92.0517272
402,Global Village Museum of Arts,4.6,globalvillagemuseum.org,"200 W Mountain Ave # C, Fort Collins, CO 80521",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipOBXl8TCO9esxjB2MHMdGx94uV3XvdFQgNM9wkY=w408-h273-k-no,Museum with galleries displaying folk arts from around the world in order to promote understanding.,,40.5873812,-105.0793512
403,Goddard Memorial State Park,4.6,riparks.com,"1095 Ives Rd, Warwick, RI 02818",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOuj_YfLmC6zcc4cMs-w6CvQfr16NglzVqMUJt9=w506-h240-k-no,"Recreational destination with picnic sites, lawns, woods, horse trails & a 9-hole golf course.",,41.6643398,-71.43245399999999
404,Gold Butte National Monument,4.6,blm.gov,"4701 N. Torrey Pines Drive, Las Vegas, NV  89130",,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOxbPq_WN2imKtOazXbWTiwVh9JmDxDFButwgsn=w426-h240-k-no,"Remote desert area with hikes to rock art sites, bighorn sheep hunting & a mining ghost town.",,36.2455435,-115.234581
405,Golden Gate Bridge,4.8,goldengatebridge.org,"Golden Gate Bridge, San Francisco, CA",Accessibility    Wheelchair accessible entrance,,https://lh5.googleusercontent.com/p/AF1QipOsar96DfB6kDoah4v5ON8-m_Yi65XAwK3MlYj6=w408-h272-k-no,"Famed 4,200-ft. art deco suspension bridge open to car, bike & foot traffic.","The Golden Gate Bridge, Highway and Transportation District is a special district of the State of California which operates and maintains the Golden Gate Bridge and two unified public transit systems - Golden Gate Transit and Golden Gate Ferry.",37.8199286,-122.4782551
406,Golden Gate Park,4.8,sfrecpark.org,"San Francisco, CA",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,//lh6.googleusercontent.com/proxy/Re_uJganG3pBk9D1SDgNoBUSZxRfsvy8OftjqwO5RWQHyy1Zv0E9fATdxXdqr158SSlyY8zEnpyn7_R8cesEpFFRVwRbgbMnfMmiGaR9bOEFWpz62sQR7tF9jewXBcdYydS3hL6kKOd7J_e290lkiG-Kl2Q0rg=w408-h272-k-no,"The city's 1,000-ac. oasis draws hikers, bikers, art lovers & music fans.",,37.7749295,-122.4194155
407,Gondola Rides at the Venetian,4.4,venetian.com,"3355 S Las Vegas Blvd, Las Vegas, NV 89109",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOaoGfmnZuLE_DnfCJfm-aV1LA6KlcQvE65D7QE=w408-h306-k-no,Venetian Resort attraction offering indoor & outdoor boat rides on traditional gondolas.,"Our standard suite is nearly double the size of the average Las Vegas hotel room. Book direct on our site enjoy free cancellations, Wi-Fi & parking.",36.1224053,-115.1679805
408,Goodwood Museum & Gardens,4.7,goodwoodmuseum.org,"1600 Miccosukee Rd, Tallahassee, FL 32308",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   Restroom,https://lh5.googleusercontent.com/p/AF1QipPL6Vnix9My-TiPnhmW7X_XhcIQy5gS3DR0duYv=w408-h325-k-no,House museum tours of a grand 1830s private residence on a landscaped estate with outbuildings.,Goodwood Museum & Gardens is a wonderful place to visit! Come for a tour of our 180 year old Main House. We're a great place to host your next event!,30.4575769,-84.25784039999999
409,Gordon Bubolz Nature Preserve,4.6,bubolzpreserve.org,"4815 N Lynndale Dr, Appleton, WI 54913",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipN5r_e9zmG43Gb-nScu-_z5u9jNEta77XuVNKRx=w408-h544-k-no,"Unspoiled natural landscape with trails for hiking & cross-country skiing, plus an education center.",,44.3118494,-88.449038
410,Graceland,4.5,graceland.com,"Elvis Presley Blvd, Memphis, TN 38116",Accessibility    Assistive hearing loop   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant   Restroom,https://lh5.googleusercontent.com/p/AF1QipNwW-_v32E0Jl6pz5RMBFboYrI2z5kg6Q9HhoZl=w408-h306-k-no,"Elvis Presley's famed estate featuring mansion tours, exhibits, a car museum & 2 jets.",,35.0370145,-90.025146
411,Gran Quivira Visitor Center,4.8,nps.gov,"105 South Ripley Avenue, Mountainair, NM 87036",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMRPHijblzPt1i9P-4UpMkB0Pkd3b13SSnDTUCG=w426-h240-k-no,Visitor center amid the historical Spanish missions at Salinas Pueblo Missions National Monument.,The National Park Service cares for special places saved by the American people so that all may experience our heritage.,34.518853,-106.2421818
412,Grand Forks County Historical Society,4.7,grandforkshistory.com,"2405 Belmont Rd, Grand Forks, ND 58201",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipPcr2hOCJl7klJNu4TDQDsiNLFyKIO9zdWn7AAu=w408-h305-k-no,Historical restored buildings & museums on land owned by a former wheat farming family.,,47.89650080000001,-97.0276513
413,Grand Rapids Children's Museum,4.6,grcm.org,"11 Sheldon Ave NE, Grand Rapids, MI 49503",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipM2oZmT4OWqeR8LOtNQWGjtKipAFlnYWPnPm0SK=w408-h613-k-no,Hands-on learning space for kids ages 2-10 features a real beehive & workshops like robot building.,,42.9636003,-85.667191
414,Grand Rapids Public Museum,4.7,grpm.org,"272 Pearl St NW, Grand Rapids, MI 49504",Accessibility    Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental,Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipP4GvQ9I74sD9gePWuE5cxmtcCUSETrg4kiITmh=w408-h408-k-no,"Museum offers 3 floors of history in an ex-flour mill plus exhibits, a 1928 carousel & planetarium.",,42.965528,-85.67671539999999
415,Grand Traverse Pie Company,4.7,gtpie.com,"525 W Front St, Traverse City, MI 49684",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipNrVrTH5oKYi6fpHROIoxLN1zcpeBmcKuQi4fTu=w408-h271-k-no,"Local chain outlet serving sweet & savory pies, plus classic cafe fare, in cozy surrounds.",,44.76374759999999,-85.6319646
416,Granny's Restaurant,4.2,grannysrestaurantwy.com,"1550 Sheridan Ave, Cody, WY 82414",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating,Amenities    Good for kids   High chairs,https://lh5.googleusercontent.com/p/AF1QipNtXP7pvl2KWQyDD3WYIfL23fYnwOAjkFAeP_sE=w408-h306-k-no,Homestyle American meals are served up from early morning to night in a relaxed space with a patio.,"Welcome to Granny's Restaurant! We are located at 1550 Sheridan Ave, Cody, WY 82414. Our phone number is 307-587-4829. We look forward to seeing you soon!",44.5257837,-109.0573368
417,Grant Park,4.7,chicagoparkdistrict.com,"337 E Randolph St, Chicago, IL 60601",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOXFwJwbv1E2yxRTzjwAGh4DySf4IHm0qeEoG7O=w408-h306-k-no,319-acre centerpiece of Downtown housing some of the city's busiest attractions.,"The Chicago Park District owns more than 8,800 acres of green space, making it the largest municipal park manager in the nation. The Chicago Park District’s more than 600 parks offer thousands of sports and physical activities as well as cultural and environmental programs for youth, adults, and seniors.",41.8823821,-87.61936659999999
418,Graze Restaurant,4.6,grazecharleston.com,"863 Houston Northcutt Blvd, Mt Pleasant, SC 29464",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Bar onsite   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipNy2O6rmjtx8djOiEOBnjrbLx00g3swjCJJh9kR=w423-h240-k-no,Modern establishment with an eclectic & ever-changing menu ranging from seafood to Southern eats.,,32.8033671,-79.8881631
419,Graze Restaurant,4.4,grazemadison.com,"1 S Pinckney St, Madison, WI 53703",Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot,Amenities    Bar onsite   Good for kids   High chairs,https://lh5.googleusercontent.com/p/AF1QipOujeB_n2hayiB98qWijDvFZy7yEdpdgUqH30Qn=w408-h407-k-no,Lively gastropub plating farm-to-table comfort fare in a modern glass venue with Capitol views.,Graze is a farm-to-table Madison restaurant with menus that feature a range of classics executed on a higher level than traditional pub fare. ,43.07505159999999,-89.382212
420,Great Lakes Children's Museum,3.9,greatlakeskids.org,"13240 S W Bay Shore Dr, Traverse City, MI 49684",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipNqguk_xPxbQL33ZrRYQGABh2gt3EN7xfjcA_1-=w408-h306-k-no,"Little ones learn about the Great Lakes & more from hands-on activities, including a water table.","The Great Lakes Children's Museum is Traverse City's number one destination for Kids Programs, Family Fun and Rainy Day Activities.",44.7862026,-85.638228
421,Great Northern Carousel,4.5,gncarousel.com,"989 Carousel Way, Helena, MT 59601",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipMoOIj0SNvaaQhHP1Cplf_Wn_SkYGWs6cjTNHZg=w408-h287-k-no,Kids of all ages can ride this artful carousel featuring 37 hand-carved animals found in Montana.,,46.5976585,-112.0366298
422,Great Plains Zoo & Delbridge Museum of Natural History,4.4,greatzoo.org,"805 S Kiwanis Ave, Sioux Falls, SD 57104",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipO8kwlaLu_GeS9mNWgO_gYmSWKGKojjMx96gwqe=w408-h270-k-no,Zoo with wildlife from around the world plus a museum with over 100 mounted animals.,"Home to hundreds of animals, the Great Plains Zoo & Delbridge Museum of Natural History is a source of affordable family fun.",43.5392292,-96.76269889999999
423,Greater Cleveland Aquarium,4.3,greaterclevelandaquarium.com,"2000 Sycamore St, Cleveland, OH 44113",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipO6trn-Wm2M82Ag8TbKbv4LQANQ2ILDTStEPZJs=w408-h408-k-no,"Interactive marine exhibits, including a walk-through experience & a mock research vessel.",,41.496563,-81.70389159999999
424,Greater Des Moines Botanical Garden,4.7,dmbotanicalgarden.com,"909 Robert D. Ray Dr, Des Moines, IA 50309",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNseq02UEW1ZaDYy_NlmVzo-Z6gwXtfX6hBflnD=w408-h272-k-no,Seasonal blooms showcased outdoors & in a geodesic dome plus educational programs & art shows.,,41.5968493,-93.6139445
425,Greeley Park,4.6,nashuanh.gov,"Greeley Park, 100 Concord St, Nashua, NH 03064",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMZ02B4sVdCqygjYOFFTskjfCNISoaSz8L5wX-x=w408-h306-k-no,"125-acre riverside park with a bandstand, sports fields, picnic facilities & a community garden.",Welcome to Nashua NH! City of Nashua Official Website,42.7805434,-71.4623893
426,Green Bay Botanical Garden,4.8,gbbg.org,"2600 Larsen Rd, Green Bay, WI 54303",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipObjQ9bPBg4rnh7symS4nn5k0auU2Je9ckbjl2Y=w426-h240-k-no,"47-acre botanical garden offering areas devoted to roses, native plants, apples & more, plus events.",Green Bay Botanical Garden is a 100% community supported non-profit and botanical garden that connects people with plants.,44.531701,-88.0995099
427,Green Mountain National Forest,4.7,fs.usda.gov,"231 N Main St, Rutland, VT 05701",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipPDY51--KAQB24X-FSwkYk0aQUeuQKtCPKBif3O=w408-h306-k-no,"Backcountry area with waterfalls, cliffs, ponds & trails for hiking, camping & outdoor recreation.",,43.6253614,-72.9758597
428,GreenFire,4.5,greenfirerestaurant.com,"6795 E Riverside Blvd, Rockford, IL 61114",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    High chairs,https://lh5.googleusercontent.com/p/AF1QipMHVrCVYibJsO2EMdpGDTPq7kZ_ZuREjzgs4u0M=w408-h306-k-no,"American bistro & market serving locally sourced, wood-fired pizza, burgers & fish, plus wine.",,42.31819489999999,-88.9841251
429,Greensboro Children's Museum,4.4,gcmuseum.com,"220 N Church St, Greensboro, NC 27401",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipPVCLg-DU6QV6lSVNHVJqLqipXRVMVfNNNGYFJ8=w408-h306-k-no,An educational museum with 20 permanent hands-on exhibits & a half-acre outdoor learning garden.,,36.0756681,-79.78635299999999
430,Greensboro Science Center,4.7,greensboroscience.org,"4301 Lawndale Dr, Greensboro, NC 27455",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipNNxFGcwQTfXPApsA5OvGPwq908tQigIJAEvP0U=w408-h306-k-no,"Center boasting a 12-acre zoo, an aquarium & a hands-on museum plus a theatre with a 40-foot screen.","The Greensboro Science Center is an aquarium, museum, zoo, and treetop adventure park in Greensboro, North Carolina",36.1299175,-79.83378859999999
431,Griffith Observatory,4.7,griffithobservatory.org,"2800 E Observatory Rd, Los Angeles, CA 90027",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipPtqJP6WuqqhDO-gcviBV8h2ouW5sxuxSvyYPQh=w408-h270-k-no,"This art deco landmark from 1935 features a high-tech planetarium, public telescopes & city views.","Griffith Observatory is southern California's gateway to the cosmos! Visitors may look through telescopes, explore exhibits, see live shows in the Samuel Oschin Planetarium, and enjoy spectacular views of Los Angeles and the Hollywood Sign.",34.1183426,-118.3004397
432,Griffith Park,4.7,laparks.org,"4730 Crystal Springs Dr, Los Angeles, CA 90027",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipP2nOboNd1CK-JUQBu1YyzlMif-4-mCcTuRVhU2=w408-h306-k-no,"Urban oasis featuring hiking & equestrian trails, plus city views, the Greek Theatre & L.A. Zoo.",,34.1328023,-118.2804993
433,Grindstone Nature Area,4.7,gocolumbiamo.com,"2011 Old 63 S, Columbia, MO 65201",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipPKyLwCT0xnG3ta-WC4kAQmi0FzWwPq2LZWwRic=w408-h306-k-no,"199-acre park featuring nature trails & scenic overlooks, plus picnicking & a leash-free dog area.",Welcome to the City of Columbia's website.,38.9260253,-92.3116484
